Stimulus;p;t;k;f;θ;s;ʃ;ʧ;h;b;d;g;v;ð;z;ʤ;j;m;n;l;r;w
p;15.4;2.9;4.6;10.4;3.3;0;0;0;39.2;6.7;1.3;2.1;2.5;1.3;0;0.8;1.3;1.3;0.4;0.4;0.8;0.8
t;10.4;19.6;9.6;5.4;6.3;1.3;0.8;0.4;27.9;2.9;1.3;3.3;0.4;3.3;1.3;0.4;0.8;0.4;0.8;0.4;0;0.8
k;11.7;14.6;25.8;1.7;2.1;0;0.4;0.8;27.9;2.1;0.8;2.1;0.4;0.8;0;0;0.4;0.4;2.1;0;0;1.7
f;22.9;2.1;3.8;19.2;7.5;0.4;0;0;14.2;8.8;1.3;0.8;3.8;5.8;0;0.4;1.7;0;0;0;0;3.8
θ;12.5;5.4;3.8;13.3;18.3;0;0;0.4;10.4;7.5;2.1;1.3;3.8;14.6;0.8;0;0.4;0.8;0.4;0.4;0.4;1.7
s;0.4;2.1;0.4;9.2;10.0;51.7;2.1;0.4;2.1;2.5;0;0;0;9.6;8.8;0;0;0;0;0;0;0
ʃ;0.4;0;0.4;0;0;0.8;76.7;19.6;0;0;0;0.4;0.4;0.4;0;0.4;0;0;0;0;0;0
ʧ;0;5.0;0.8;1.7;0.8;0;1.3;83.8;0.4;0;0;0.4;0;1.7;0;2.9;0.4;0;0.4;0;0;0
h;14.6;5.0;4.6;9.6;4.6;0.4;0;0.4;36.7;7.1;0.4;1.7;2.9;2.1;0;0.4;0;1.7;0.4;0.4;0.4;1.7
b;2.1;0;1.3;5.8;5.8;0;0;0;15.0;19.6;1.3;1.3;5.0;8.3;0.4;0.8;3.8;10.8;0.4;4.2;1.7;3.8
d;0;2.9;0;1.3;7.9;0.4;0;0.8;4.6;7.9;14.6;2.9;0.8;14.6;0.4;0.8;7.1;3.3;19.6;6.7;0;0.4
g;1.7;0.8;1.3;2.9;2.5;0.4;0;0;10.4;3.8;2.5;29.6;4.2;2.1;0.4;0.8;19.2;1.3;7.9;2.9;1.3;1.3
v;2.9;1.7;0.4;5.8;4.2;0.8;0;0.4;8.8;18.3;0.4;3.3;17.5;14.6;0;0.8;2.1;4.2;1.7;0.8;1.7;5.0
ð;0;1.3;0;1.3;14.6;0.8;0;0.4;1.7;9.6;4.2;3.3;5.8;30.4;4.2;2.1;1.3;1.3;4.6;10.0;0;0.8
z;0;1.7;0;0;9.2;2.5;0;0;0.8;1.7;1.7;2.5;8.3;21.3;31.3;2.1;0.4;0.8;3.3;1.3;1.7;7.5
ʤ;0.4;0.4;0.4;0.4;2.5;0.4;0;4.6;1.3;1.7;4.2;2.9;0.4;8.3;0;68.8;0.8;0.4;0.4;1.3;0;0
j;0;0.8;0;0;0.4;0;0;0;2.9;3.3;5.4;3.3;1.3;1.3;1.7;2.9;65.8;2.5;2.5;1.7;0;2.1
m;0.4;0;0.4;1.7;0.4;0;0;0;3.3;3.8;0.8;1.3;6.3;0.4;0.4;0;0.8;63.8;5.8;5.8;1.3;1.7
n;0;0;0;0;0.8;0;0;0;0.4;0.4;0.4;0;0.4;0.4;0.4;0;0.4;12.5;77.9;4.2;0.8;0.4
l;0.4;0;0;0;2.5;0;0;0.4;0.8;5.0;1.7;2.1;3.3;4.2;0.4;0;2.1;12.5;5.0;54.2;2.1;0.8
r;0.8;0.4;1.3;1.3;0;0;0;0;7.1;5.4;0.4;2.1;5.0;0.8;0;0;0;2.5;0.4;0;68.8;2.9
w;0.8;0.4;0;0;0;0;0;0;1.7;4.2;0;0.8;2.9;0.4;0;0;4.2;5.8;0;2.9;0.4;73.3
