,ɑ,æ,ʌ,ɔ,ɛ,e,ə,o,ɪ,i,ʊ,u,p,b,t,d,k,g,f,v,θ,ð,s,z,ʃ,ʒ,h,m,n,ŋ,l,ɹ,j,w,ʧ,ʤ
ɑ,0.0,2.0,1.41,2.0,2.0,2.45,2.0,2.45,2.0,2.45,2.0,2.45,2.45,2.0,2.83,2.45,2.83,2.45,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.45,2.83,2.83,2.83,2.83,2.83,3.16,3.16,2.83
æ,2.0,0.0,1.41,2.0,1.41,2.0,2.0,2.83,1.41,2.0,2.45,2.83,2.45,2.0,2.83,2.45,2.83,2.45,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.45,2.83,2.83,2.83,2.83,2.83,3.16,3.16,2.83
ʌ,1.41,1.41,0.0,1.41,2.0,2.45,2.0,2.45,2.0,2.45,2.0,2.45,2.83,2.45,3.16,2.83,3.16,2.83,3.46,3.16,3.46,3.16,3.46,3.16,3.46,3.16,3.46,2.83,3.16,3.16,3.16,3.16,3.16,3.46,3.46,3.16
ɔ,2.0,2.0,1.41,0.0,2.45,2.83,2.45,2.0,2.45,2.83,1.41,2.0,3.16,2.83,3.46,3.16,3.46,3.16,3.74,3.46,3.74,3.46,3.74,3.46,3.74,3.46,3.74,3.16,3.46,3.46,3.46,3.46,3.46,3.16,3.74,3.46
ɛ,2.0,1.41,2.0,2.45,0.0,1.41,1.41,2.45,1.41,2.0,2.45,2.83,2.45,2.0,2.83,2.45,2.83,2.45,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.45,2.83,2.83,2.83,2.83,2.83,3.16,3.16,2.83
e,2.45,2.0,2.45,2.83,1.41,0.0,2.0,2.0,2.0,1.41,2.83,2.45,2.83,2.45,3.16,2.83,3.16,2.83,3.46,3.16,3.46,3.16,3.46,3.16,3.46,3.16,3.46,2.83,3.16,3.16,3.16,3.16,3.16,3.46,3.46,3.16
ə,2.0,2.0,2.0,2.45,1.41,2.0,0.0,2.45,2.0,2.45,2.45,2.83,2.83,2.45,3.16,2.83,3.16,2.83,3.46,3.16,3.46,3.16,3.46,3.16,3.46,3.16,3.46,2.83,3.16,3.16,3.16,3.16,3.16,3.46,3.46,3.16
o,2.45,2.83,2.45,2.0,2.45,2.0,2.45,0.0,2.83,2.45,2.0,1.41,3.46,3.16,3.74,3.46,3.74,3.46,4.0,3.74,4.0,3.74,4.0,3.74,4.0,3.74,4.0,3.46,3.74,3.74,3.74,3.74,3.74,3.46,4.0,3.74
ɪ,2.0,1.41,2.0,2.45,1.41,2.0,2.0,2.83,0.0,1.41,2.0,2.45,2.45,2.0,2.83,2.45,2.83,2.45,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.83,3.16,2.45,2.83,2.83,2.83,2.83,2.83,3.16,3.16,2.83
i,2.45,2.0,2.45,2.83,2.0,1.41,2.45,2.45,1.41,0.0,2.45,2.0,2.83,2.45,3.16,2.83,3.16,2.83,3.46,3.16,3.46,3.16,3.46,3.16,3.46,3.16,3.46,2.83,3.16,3.16,3.16,3.16,3.16,3.46,3.46,3.16
